.AAC,WMP11.AssocFile.ADTS,ADTS Audio,audio/vnd.dlna.adts,audio,,,,0x00110000,0x00000000,"%SystemRoot%\system32\wmploc.dll,-730",7/13/2009 11:09:22 PM,Standard,,Microsoft® Windows® Operating System,12.0.7600.16385 (win7_rtm.090713-1255),Windows Media Player Resources,Microsoft Corporation
.aax,,,audio/vnd.audible.aax,audio,,,,0x00000000,0x00000000,,7/7/2012 4:52:14 PM,Standard,,,,,
.accda,Access.ACCDAExtension.14,Microsoft Access Add-in,application/msaccess.addin,,,,,0x00000000,0x00000000,"""C:\Program Files (x86)\Microsoft Office\Office14\ACCICONS.EXE"",40",7/5/2012 4:44:41 PM,Standard,,Microsoft Office 2010,14.0.6009.1000,Microsoft Office 2010 component,Microsoft Corporation
.accdb,Access.Application.14,Microsoft Access Database,application/msaccess,,,,,0x00000000,0x00000000,"C:\Windows\Installer\{90140000-0011-0000-0000-0000000FF1CE}\accicons.exe,1",7/5/2012 4:44:40 PM,Standard,,Microsoft Office 2010,14.0.6009.1000,Microsoft Office 2010 component,Microsoft Corporation
.accdc,Access.ACCDCFile.14,Microsoft Access Signed Package,application/msaccess.cab,,,,,0x00000000,0x00000000,"C:\Windows\Installer\{90140000-0011-0000-0000-0000000FF1CE}\accicons.exe,61",7/5/2012 4:44:40 PM,Standard,,Microsoft Office 2010,14.0.6009.1000,Microsoft Office 2010 component,Microsoft Corporation
.accde,Access.ACCDEFile.14,Microsoft Access ACCDE Database,application/msaccess.exec,,,,,0x00000000,0x00000000,"C:\Windows\Installer\{90140000-0011-0000-0000-0000000FF1CE}\accicons.exe,44",7/5/2012 4:44:40 PM,Standard,,Microsoft Office 2010,14.0.6009.1000,Microsoft Office 2010 component,Microsoft Corporation
.accdr,Access.ACCDRFile.14,Microsoft Access Runtime Application,application/msaccess.runtime,,,,,0x00000000,0x00000000,"C:\Windows\Installer\{90140000-0011-0000-0000-0000000FF1CE}\accicons.exe,44",7/5/2012 4:44:40 PM,Standard,,Microsoft Office 2010,14.0.6009.1000,Microsoft Office 2010 component,Microsoft Corporation
.accdt,Access.ACCDTFile.14,Microsoft Access Template,application/msaccess.template,,,,,0x00000000,0x00000000,"C:\Windows\Installer\{90140000-0011-0000-0000-0000000FF1CE}\accicons.exe,2",7/5/2012 4:44:40 PM,Standard,,Microsoft Office 2010,14.0.6009.1000,Microsoft Office 2010 component,Microsoft Corporation
.accdu,Access.WizardUserDataFile.14,Microsoft Access Add-in Data,,,,,,0x00000000,0x00000000,"""C:\Program Files (x86)\Microsoft Office\Office14\ACCICONS.EXE"",41",7/5/2012 4:44:41 PM,Standard,,Microsoft Office 2010,14.0.6009.1000,Microsoft Office 2010 component,Microsoft Corporation
.accdw,Access.WebApplicationReference.14,Microsoft Access Web Application,application/msaccess.webapplication,,,,,0x00000000,0x00000000,"C:\Windows\Installer\{90140000-0011-0000-0000-0000000FF1CE}\accicons.exe,65",7/5/2012 4:44:40 PM,Standard,,Microsoft Office 2010,14.0.6009.1000,Microsoft Office 2010 component,Microsoft Corporation
