.adn,Access.BlankProjectTemplate.15,Microsoft Access Blank Project Template,,,,,,0x00000000,0x00000000,"C:\WINDOWS\Installer\{90150000-0011-0000-0000-0000000FF1CE}\accicons.exe,53",2/14/2014 11:39:15 AM,Standard,,Microsoft Office 2013,15.0.4553.1000,Microsoft Office 2013 component,Microsoft Corporation
.adp,Access.Project.15,Microsoft Access Project,application/msaccess,,,,,0x00000000,0x00000000,"C:\WINDOWS\Installer\{90150000-0011-0000-0000-0000000FF1CE}\accicons.exe,53",2/14/2014 11:39:15 AM,Standard,,Microsoft Office 2013,15.0.4553.1000,Microsoft Office 2013 component,Microsoft Corporation
,mspaint.exe,,,,,,,0x00000000,0x00000000,,2/13/2014 7:06:26 PM,Application,,,,,
,MovieMaker.exe,,,,,,,0x00000000,0x00000000,,2/13/2014 7:09:08 PM,Application,,,,,
.ai,,,application/postscript,,,,,0x00000000,0x00000000,,2/13/2014 7:06:26 PM,Standard,,,,,
,iexplore.exe,,,,,,,0x00000000,0x00000000,,2/13/2014 7:06:26 PM,Application,,,,,
,AcroRD32.exe,,,,,,,0x00000000,0x00000000,,5/8/2014 1:25:05 PM,Application,,,,,
,Acrobat.exe,,,,,,,0x00000000,0x00000000,,5/15/2014 5:53:52 PM,Application,,,,,
.ani,anifile,Animated Cursor,,,,,,0x00000000,0x00000000,%1,2/13/2014 7:06:26 PM,Standard,,,,,
.ans,,,,,,,,0x00000000,0x00000000,,2/13/2014 7:06:26 PM,Standard,,,,,
.api,Acrobat.Plugin,,,,,,,0x00000000,0x00000000,"C:\WINDOWS\Installer\{AC76BA86-1033-FFFF-7760-000000000006}\_APIFile.ico,0",5/15/2014 5:53:51 PM,Standard,Acrobat.Plugin,,,,
.appcontent-ms,ApplicationContent,Application Content,application/windows-appcontent+xml,,,,,0x00000000,0x00000000,,2/13/2014 7:06:26 PM,Standard,,,,,
.application,Application.Manifest,Application Manifest,application/x-ms-application,,,,,0x00410000,0x00001000,"C:\Windows\System32\dfshim.dll,1",2/13/2014 7:06:26 PM,Standard,,Microsoft® Windows® Operating System,6.3.9600.16384 (winblue_rtm.130821-1623),ClickOnce Application Deployment Support Library,Microsoft Corporation
.appref-ms,Application.Reference,Application Reference,,,,,,0x00020000,0x00000000,,2/13/2014 7:06:26 PM,Standard,,,,,
.aps,,,,,,,,0x00000000,0x00000000,,2/13/2014 7:06:26 PM,Standard,,,,,
.arc,,,,,,,,0x00000000,0x00000000,,2/13/2014 7:06:26 PM,Standard,,,,,
.arj,,,,,,,,0x00000000,0x00000000,,2/27/2014 12:58:52 PM,Standard,,,,,
.ARN,Autoruns.Logfile.1,Autoruns Log File,,,,,,0x00000000,0x00000000,"""C:\Users\lpjharri\Documents\Sysinternal Tools\Autoruns\autoruns.exe"",0",2/25/2014 10:23:04 AM,Standard,,Sysinternals autoruns,11.31,Autostart program viewer,Sysinternals - www.sysinternals.com
.art,,,,,,,,0x00000000,0x00000000,,2/13/2014 7:06:26 PM,Standard,,,,,
,video,,,,,,,0x00000000,0x00000000,"%SystemRoot%\system32\shell32.dll,-16825",2/13/2014 7:06:27 PM,Perceived Type,,Microsoft® Windows® Operating System,6.3.9600.17031 (winblue_gdr.140221-1952),Windows Shell Common Dll,Microsoft Corporation
.asa,aspfile,,,,,,,0x00000000,0x00000000,,2/13/2014 7:06:26 PM,Standard,,,,,
.asc,,,,,,,,0x00000000,0x00000000,,2/13/2014 7:06:26 PM,Standard,,,,,
.ascx,,,,,,,,0x00000000,0x00000000,,2/13/2014 7:06:26 PM,Standard,,,,,
,text,,,,,,,0x00000000,0x00000000,"%SystemRoot%\system32\imageres.dll,-102",2/13/2014 7:06:27 PM,Perceived Type,,Microsoft® Windows® Operating System,6.3.9600.16384 (winblue_rtm.130821-1623),Windows Image Resource,Microsoft Corporation
,system,,,,,*,*,0x00100001,0x00000000,"%SystemRoot%\system32\imageres.dll,-67",2/13/2014 7:06:27 PM,Perceived Type,,Microsoft® Windows® Operating System,6.3.9600.16384 (winblue_rtm.130821-1623),Windows Image Resource,Microsoft Corporation
,MyVideo,,,,,,,0x00000000,0x00000000,,2/13/2014 7:06:27 PM,Perceived Type,,,,,
.asp,aspfile,,,,,,,0x00000000,0x00000000,,2/13/2014 7:06:26 PM,Standard,,,,,
,MyPictures,,,,,,,0x00000000,0x00000000,,2/13/2014 7:06:27 PM,Perceived Type,,,,,
,MyMusic,,,,,,,0x00000000,0x00000000,,2/13/2014 7:06:27 PM,Perceived Type,,,,,
,MAPI/Folder,,,,,,,0x00000000,0x00000000,,8/22/2013 9:37:51 AM,Perceived Type,,,,,
,MAPI/Attachment,,,,,,,0x00000000,0x00000000,,8/22/2013 9:37:51 AM,Perceived Type,,,,,
.aw,AWFile,Answer Wizard File,,,,,,0x00000000,0x00000000,"C:\WINDOWS\Installer\\{90850409-6000-11D3-8CFE-0150048383C9}\misc.exe,6",11/11/2014 9:41:46 AM,Standard,,,,,
.bas,,,,,,,,0x00000000,0x00000000,,2/13/2014 7:06:26 PM,Standard,,,,,
.bashrc,bashrc_auto_file,,,,,,,0x00000000,0x00000000,,11/24/2014 3:53:34 PM,Standard,,,,,
.bash_history,bash_history_auto_file,,,,,,,0x00000000,0x00000000,,11/24/2014 3:54:04 PM,Standard,,,,,
.bash_logout,bash_logout_auto_file,,,,,,,0x00000000,0x00000000,,11/24/2014 3:53:56 PM,Standard,,,,,
.bash_profile,bash_profile_auto_file,,,,,,,0x00000000,0x00000000,,11/24/2014 3:53:45 PM,Standard,,,,,
.bat,batfile,Windows Batch File,,,,,,0x00000430,0x00000000,"%SystemRoot%\System32\imageres.dll,-68",2/13/2014 7:06:26 PM,Standard,,Microsoft® Windows® Operating System,6.3.9600.16384 (winblue_rtm.130821-1623),Windows Image Resource,Microsoft Corporation
.bcp,,,,,,,,0x00000000,0x00000000,,2/13/2014 7:06:26 PM,Standard,,,,,
.bgi,BGInfo.Config.1,BGInfo Configuration File,,,,,,0x00000000,0x00000000,,2/18/2014 12:10:52 PM,Standard,,,,,
.bin,,,,,,,,0x00000000,0x00000000,,2/13/2014 7:06:26 PM,Standard,,,,,
